tweet_id,retweet_count,favor_count,expanded_url
892420643555336193,8238,37795,https://twitter.com/dog_rates/status/892420643555336193/photo/1
892177421306343426,6088,32470,https://twitter.com/dog_rates/status/892177421306343426/photo/1
891815181378084864,4029,24443,https://twitter.com/dog_rates/status/891815181378084864/photo/1
891689557279858688,8395,41123,https://twitter.com/dog_rates/status/891689557279858688/photo/1
891327558926688256,9091,39333,https://twitter.com/dog_rates/status/891327558926688256/photo/1
891087950875897856,3017,19766,https://twitter.com/dog_rates/status/891087950875897856/photo/1
890971913173991426,1993,11559,https://twitter.com/dog_rates/status/890971913173991426/photo/1
890729181411237888,18312,63746,https://twitter.com/dog_rates/status/890729181411237888/photo/1
890609185150312448,4145,27167,https://twitter.com/dog_rates/status/890609185150312448/photo/1
890240255349198849,7158,31153,https://twitter.com/dog_rates/status/890240255349198849/photo/1
890006608113172480,7114,29947,https://twitter.com/dog_rates/status/890006608113172480/photo/1
889880896479866881,4826,27152,https://twitter.com/dog_rates/status/889880896479866881/photo/1
889665388333682689,9740,46957,https://twitter.com/dog_rates/status/889665388333682689/photo/1
889638837579907072,4394,26479,https://twitter.com/dog_rates/status/889638837579907072/photo/1
889531135344209921,2182,14760,https://twitter.com/dog_rates/status/889531135344209921/photo/1
889278841981685760,5209,24638,https://twitter.com/dog_rates/status/889278841981685760/video/1
888917238123831296,4371,28437,https://twitter.com/dog_rates/status/888917238123831296/photo/1
888804989199671297,4155,24955,https://twitter.com/dog_rates/status/888804989199671297/photo/1
888554962724278272,3434,19357,https://twitter.com/dog_rates/status/888554962724278272/photo/1
888078434458587136,3387,21240,https://twitter.com/dog_rates/status/888078434458587136/photo/1
887705289381826560,5223,29479,https://twitter.com/dog_rates/status/887705289381826560/photo/1
887517139158093824,11359,45176,https://twitter.com/dog_rates/status/887517139158093824/video/1
887473957103951883,17635,67343,https://twitter.com/dog_rates/status/887473957103951883/photo/1
887343217045368832,10119,32884,https://twitter.com/dog_rates/status/887343217045368832/video/1
887101392804085760,5787,29844,https://twitter.com/dog_rates/status/887101392804085760/photo/1
886983233522544640,7539,34297,https://twitter.com/dog_rates/status/886983233522544640/photo/1
886736880519319552,3179,11768,https://twitter.com/dog_rates/status/886736880519319552/photo/1
886680336477933568,4328,21913,https://twitter.com/dog_rates/status/886680336477933568/photo/1
886366144734445568,3107,20688,https://twitter.com/dog_rates/status/886366144734445568/photo/1
886258384151887873,6111,27338,https://twitter.com/dog_rates/status/886258384151887873/photo/1
885984800019947520,6564,31857,https://twitter.com/dog_rates/status/885984800019947520/photo/1
885528943205470208,6235,35098,https://twitter.com/dog_rates/status/885528943205470208/photo/1
885518971528720385,3641,19952,
885311592912609280,18005,0,https://twitter.com/dog_rates/status/830583320585068544/photo/1
885167619883638784,4256,21386,https://twitter.com/dog_rates/status/885167619883638784/photo/1
884925521741709313,17727,75529,https://twitter.com/dog_rates/status/884925521741709313/photo/1
884876753390489601,5452,27257,https://twitter.com/dog_rates/status/884876753390489601/photo/1
884562892145688576,4555,23708,https://twitter.com/dog_rates/status/884562892145688576/photo/1
884441805382717440,5499,26364,https://twitter.com/dog_rates/status/884441805382717440/photo/1
884247878851493888,19923,71231,
884162670584377345,2894,19876,https://twitter.com/dog_rates/status/884162670584377345/photo/1
883838122936631299,3351,21381,https://twitter.com/dog_rates/status/883838122936631299/photo/1
883482846933004288,9642,44824,https://twitter.com/dog_rates/status/883482846933004288/photo/1
883360690899218434,3601,22154,https://twitter.com/dog_rates/status/883360690899218434/photo/1
883117836046086144,6475,36292,https://twitter.com/dog_rates/status/883117836046086144/photo/1
882992080364220416,3812,23387,https://twitter.com/dog_rates/status/882992080364220416/photo/1
882762694511734784,4763,27641,https://twitter.com/dog_rates/status/882762694511734784/photo/1
882627270321602560,5917,27294,https://twitter.com/dog_rates/status/882627270321602560/photo/1
882268110199369728,11267,43884,https://twitter.com/dog_rates/status/882268110199369728/photo/1
882045870035918850,4818,28651,https://twitter.com/dog_rates/status/882045870035918850/photo/1
881906580714921986,3302,23751,https://twitter.com/dog_rates/status/881906580714921986/photo/1
881666595344535552,10377,49412,https://twitter.com/dog_rates/status/881666595344535552/photo/1
881536004380872706,15514,48259,https://twitter.com/dog_rates/status/881536004380872706/video/1
